decade,n,mean_k,k0,k1,kmax,k0_frac,k1_frac
0,3,1.0,1,1,2,0.3333333333333333,0.3333333333333333
1,21,2.5714285714285716,0,0,4,0.0,0.0
2,143,2.013986013986014,10,37,5,0.06993006993006994,0.25874125874125875
3,1061,1.9208294062205467,110,308,6,0.10367577756833177,0.29029217719132894
4,8363,1.8865239746502451,1100,2537,7,0.13153174698074854,0.30336003826378094
5,68906,1.8701709575363539,10310,20196,9,0.14962412562041041,0.29309494093402605
6,586081,1.879840841112406,90995,171259,10,0.15526010909754795,0.29221046237636095
7,5096876,1.8809076383259078,829231,1479060,12,0.1626939717583869,0.2901895200118661
8,45086079,1.8776996553636878,7641021,12985176,13,0.16947628113768776,0.28800854472175325
9,404204977,1.8828269548991723,69983872,115625355,14,0.17313956032758102,0.2860562377488984
10,3663002302,1.8850853607790061,645065640,1043817623,15,0.17610298515176853,0.2849623169578887
11,19580795445,1.8841722884358543,3504792995,5565413651,16,0.17899134919439427,0.28422816972030324
