decade,k,len
11,2,4764118789
6,2,154455
10,8,5709633
10,2,899523538
3,5,21
11,14,1273
4,7,8
11,8,33018028
5,6,634
9,3,62972374
7,8,4751
9,8,554848
7,12,1
10,10,334964
7,2,1308113
10,14,97
8,3,7086373
11,4,1575942775
6,3,95027
10,15,8
11,10,2133195
3,0,110
5,4,5476
3,6,1
4,2,2317
8,4,3601714
7,1,1479060
2,2,52
11,7,105135544
6,1,171259
11,12,74844
10,4,294851774
7,11,7
7,5,173688
6,7,1786
6,4,46566
10,5,133787639
7,10,143
5,1,20196
5,5,2055
9,5,14498996
7,4,406761
0,2,1
2,1,37
10,13,1267
7,0,829231
11,6,293399404
10,12,9779
4,6,64
2,3,30
9,13,80
8,0,7641021
11,5,722694866
9,9,136836
0,1,1
6,6,6421
9,1,115625355
5,3,11389
4,5,240
2,4,13
4,0,1100
11,16,13
2,0,10
9,6,5660284
7,7,18997
10,6,53502729
11,9,9028531
8,6,593807
9,7,1915406
6,0,90995
9,4,32490527
1,4,1
5,0,10310
5,2,18685
6,8,372
8,7,191748
9,14,6
10,9,1494691
3,1,308
8,1,12985176
9,10,28209
5,7,139
4,1,2537
11,15,121
7,6,63269
8,13,1
11,0,3504792995
8,8,51556
1,2,10
9,11,4755
11,13,10929
11,1,5565413651
8,9,11615
6,9,49
11,11,433226
9,2,100332806
10,3,566085324
7,3,811972
3,4,85
3,3,207
8,12,30
2,5,1
7,9,883
10,0,645065640
9,12,623
10,1,1043817623
1,3,10
5,8,21
5,9,1
10,11,63072
3,2,329
9,0,69983872
6,5,19146
10,7,18754524
8,2,11347498
8,10,2020
4,4,675
8,5,1573231
0,0,1
6,10,5
8,11,289
4,3,1422
11,3,3004597261
