p,m_k,n_k,q_k
11,1,2,3
13,2,2,3
17,3,2,3
29,1,3,3
29,2,2,5
31,2,3,3
41,4,2,5
41,5,2,3
43,4,3,3
53,2,2,7
59,5,3,3
73,6,2,3
83,1,4,3
89,3,4,3
89,6,2,5
97,4,4,3
113,5,4,3
113,6,2,7
127,1,3,5
137,4,2,11
137,7,2,3
157,5,3,5
173,2,2,13
233,6,2,13
251,3,5,3
281,8,2,5
283,8,3,3
293,2,2,17
307,6,5,3
337,8,4,3
347,2,3,7
353,6,2,17
359,4,3,7
499,8,5,3
521,9,2,3
593,6,2,23
593,9,4,3
599,8,3,7
617,8,2,19
641,4,4,5
733,2,6,3
761,5,6,3
857,4,2,29
857,7,6,3
881,8,4,5
977,4,2,31
1033,10,2,3
1049,10,2,5
1051,10,3,3
1097,8,2,29
1193,10,2,13
1217,8,2,31
1367,10,3,7
1373,2,2,37
1433,6,2,37
1459,7,3,11
1553,10,2,23
1697,4,2,41
1753,10,6,3
1913,6,2,43
2129,11,4,3
2203,4,7,3
2213,2,2,47
2213,4,3,13
2251,6,7,3
2273,6,2,47
2393,10,2,37
2417,4,4,7
2657,8,4,7
2699,9,7,3
2777,11,6,3
3221,10,3,13
3253,7,5,5
3637,9,5,5
3833,10,2,53
4177,12,4,3
4217,12,2,11
4339,12,5,3
4457,12,2,19
4493,2,2,67
4721,12,4,5
4937,12,2,29
5297,8,2,71
5333,2,2,73
5393,6,2,73
6257,4,2,79
6353,10,2,73
6563,1,8,3
6569,3,8,3
6577,4,8,3
6689,7,8,3
6863,2,3,19
6961,11,3,17
7577,12,2,59
7817,12,2,61
7883,10,3,19
7937,4,2,89
8219,13,3,3
8273,13,4,3
8317,13,3,5
8609,11,8,3
9137,12,2,71
9413,2,2,97
9473,6,2,97
10337,12,2,79
10433,10,2,97
10457,8,2,101
10613,2,2,103
10657,12,8,3
11317,13,5,5
11633,10,2,103
11897,4,2,109
12473,10,2,107
14657,4,4,11
14753,13,8,3
14897,8,4,11
15629,2,6,5
15641,4,6,5
15881,8,6,5
16193,6,2,127
16411,14,3,3
16433,14,2,7
16553,14,2,13
16649,10,6,5
16673,14,2,17
16811,2,5,7
16823,4,5,7
16871,6,5,7
17417,8,2,131
18233,14,2,43
18593,14,2,47
18773,2,2,137
19577,8,2,139
19687,2,9,3
19699,4,9,3
19793,10,2,137
20359,13,3,23
20707,10,9,3
20873,14,2,67
20903,12,5,7
