k,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
2,275259627,282417108,279485779,283753907,257744399,262244431,249153009,253282692,227931599,231001437,219633020,221617096,186794025,187662320,176972651,177793611,156217164,155982419,140964447,140620470,119287601,117363686,105658945,103934755,82226537,77756001,64060188,61324661,49148700,44562280,31124976,27837877,18544551,14245515,4840116,3038693,149338
3,274679813,274840307,251383690,252225622,221075964,220403881,193928422,193342568,164835512,162825833,141667116,140041467,112524070,108481505,90536281,88432857,72443210,69137226,54281603,51758481,39222107,36462557,27726195,25835650,18222935,15665063,9418346,8172657,5106470,4092016,1749510,1258960,356121,216972,10939,0,0
4,197866812,193810557,164564314,162523788,136212018,132973816,108296213,105192688,83749196,80583947,63771037,61445584,46494867,43255832,32079034,30232348,22555956,20591444,13972046,12586296,8245876,7256243,4589138,3979661,2346104,1872345,841758,644796,259549,182201,42739,25596,1198,0,0,0,0
5,115079508,110443153,87517753,84713756,67196460,64109665,48505476,45727828,33670034,31530252,22772055,21237746,14886311,13372179,8853735,7979959,5294607,4612840,2704522,2295603,1262121,1048688,554930,441029,198117,145387,44704,30125,5730,3282,144,0,0,0,0,0,0
6,56479836,53040974,39291135,37131174,27636230,25706139,18098444,16532999,11193545,10166931,6700877,6012344,3842860,3322459,1952081,1673276,961441,794655,397062,315775,142501,111235,45983,33361,9983,6527,1068,571,27,0,0,0,0,0,0,0,0
7,23707659,21723884,15041852,13816192,9590531,8660917,5656475,4997215,3096681,2709501,1621000,1392473,798233,660573,339858,275434,132825,103223,42753,31761,11191,7905,2266,1502,249,131,4,0,0,0,0,0,0,0,0,0,0
8,8527261,7598833,4896659,4360701,2801062,2448300,1476506,1256455,707933,593328,317965,261694,131560,102910,45220,34604,13812,9902,3210,2170,524,323,51,32,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2621643,2266613,1351490,1161238,688008,579677,318094,260678,132400,106204,49549,38546,16916,12293,4476,3274,949,641,149,105,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,686104,572937,314906,260640,140286,113726,56181,43795,19703,14817,6079,4361,1602,1071,313,212,58,23,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,152313,122456,61106,48845,23372,18350,8019,6053,2310,1773,568,380,94,64,15,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,28278,21961,9784,7374,3232,2452,941,642,209,128,28,19,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4483,3197,1259,1030,364,255,81,57,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,506,379,122,98,29,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,48,41,3,10,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
